temp,vib,pressure,humidity
0.8027901071039943,0.8363376036494079,0.4664415051692796,0.7774294158959985
0.8506415454585252,0.9480904182382841,0.05219419221807642,0.20949838295238665
0.4535092254357245,0.4618885570040022,0.22719860817620374,0.08305360793962158
0.17414566420114608,0.9074280287017796,0.19912644423783687,0.4702225523714483
0.45963850726288247,0.08506055344500751,0.11911942610121162,0.5818564380689404
0.05858009928602537,0.10269201380911552,0.2001129993540196,0.1505946495018644
0.9034190322069998,0.5076007857777993,0.6464844142434207,0.028812976485284247
0.30809945825858365,0.583191973458977,0.8173198551522491,0.2888613822713866
0.8525911679736143,0.8687370886736007,0.2523470914596333,0.5524358858843655
0.9887537942550468,0.02904000078401603,0.5804018130399607,0.42663162781731145
